#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	1	1	1	"जैक की मुर्गी ने कल ६ अंडे और आज ३ अंडे दिए। जैक की मुर्गी ने कितने अंडे दिए?"	Áñ·UUUU ·UUUè ×é»èü Ùð ·UUUUÜ 6 ¥¢Çð ¥æñÚ ¥æÁ 3 ¥¢Çð çÎ°Ð Áñ·UUUU ·UUUè ×é»èü Ùð ç·UUUUÌÙð ¥¢Çð çÎ°?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	1	2	1	"फेंस पर २ पक्षी बैठे थे। ४ और पक्षी जुड़े। कितने पक्षी फेंस पर हैं?"	Èð¢UUUâ ÂÚ 2 Âÿæè ÕñÆð ÍðÐ 4 ¥æñÚ Âÿæè ÁéÇ¸ðÐ ç·UUUUÌÙð Âÿæè Èð¢UUUâ ÂÚ ãñ¢?	6	7	8	9	birds	birds	birds	birds	2 + 4 = <6>	1	2	4	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	1	1	3	1	"जब वह स्कूल में गणित करती है, शेल्बी स्टार स्टिकर कमाती है। कल, शेल्बी ने ४ स्टार कमाए। आज उसने ३ और कमाए। शेल्बी ने सभी में कितने स्टार कमाए?"	ÁÕ ßã S·êUUUÜ ×ð¢ »ç‡æÌ ·UUUUÚÌè ãñ, àæðËÕè SÅæÚ çSÅ·UUUUÚ ·UUUU×æÌè ãñÐ ·UUUUÜ, àæðËÕè Ùð 4 SÅæÚ ·UUUU×æ°Ð ¥æÁ ©âÙð 3 ¥æñÚ ·UUUU×æ°Ð àæðËÕè Ùð âÖè ×ð¢ ç·UUUUÌÙð SÅæÚ ·UUUU×æ°?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	1	4	1	"टॉम के पास ६ किताबें हैं। जेम्स  के पास २ किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	Åæò× ·ðUUU Âæâ 6 ç·UUUUÌæÕð¢ ãñ¢Ð Áð{â ·ðUUU Âæâ 2 ç·UUUUÌæÕð¢ ãñ¢Ð ©Ù·ðUUU Âæâ âÖè ×ð¢ ç·UUUUÌÙè ç·UUUUÌæÕð¢ ãñ¢?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	1	5	1	"माया ने दोपहर के भोजन में ३ याम और रात के खाने में ५ याम परोसे। दिन में कितने याम परोसे गए?"	×æØæ Ùð ÎôÂãÚ ·ðUUU ÖôÁÙ ×ð¢ 3 Øæ× ¥æñÚ ÚæÌ ·ðUUU ¹æÙð ×ð¢ 5 Øæ× ÂÚôâðÐ çÎÙ ×ð¢ ç·UUUUÌÙð Øæ× ÂÚôâð »°?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	1	1	"टॉम के पास ६ किताबें हैं। जेम्स  के पास २ किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	Åæò× ·ðUUU Âæâ 6 ç·UUUUÌæÕð¢ ãñ¢Ð Áð{â ·ðUUU Âæâ 2 ç·UUUUÌæÕð¢ ãñ¢Ð ©Ù·ðUUU Âæâ âÖè ×ð¢ ç·UUUUÌÙè ç·UUUUÌæÕð¢ ãñ¢?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	2	2	1	"माया ने दोपहर के भोजन में ३ याम और रात के खाने में ५ याम परोसे। दिन में कितने याम परोसे गए?"	×æØæ Ùð ÎôÂãÚ ·ðUUU ÖôÁÙ ×ð¢ 3 Øæ× ¥æñÚ ÚæÌ ·ðUUU ¹æÙð ×ð¢ 5 Øæ× ÂÚôâðÐ çÎÙ ×ð¢ ç·UUUUÌÙð Øæ× ÂÚôâð »°?	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	3	1	"७ रेड एप्पल और २ ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?"	7 ÚðÇ °ŒÂÜ ¥æñÚ 2 »ýèÙ °ŒÂÜ Åô·UUUUÚè ×ð¢ ãñ¢Ð Åô·UUUUÚè ×ð¢ ç·UUUUÌÙð °ŒÂÜ ãñ¢?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	2	4	1	"स्टैसी ने सुबह ५ मछलियाँ पकड़ीं। उसने दोपहर में ४ और मछलियाँ पकड़ीं। स्टैसी ने कुल कितनी मछली पकड़ीं?"	SÅUñâè Ùð âéÕã 5 ×ÀçÜØæ¡ Â·¤Ç¸è´Ð ©âÙð ÎôÂãÚU ×ð´ 4 ¥õÚU ×ÀçÜØæ¡ Â·¤Ç¸è´Ð SÅUñâè Ùð ·¤éÜ ç·¤ÌÙè ×ÀÜè Â·¤Ç¸è´?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	1	2	5	1	"जब वह स्कूल में गणित करती है, शेल्बी स्टार स्टिकर कमाती है। कल, शेल्बी ने ४ स्टार कमाए। आज उसने ३ और कमाए। शेल्बी ने सभी में कितने स्टार कमाए?"	ÁÕ ßã S·êUUUÜ ×ð¢ »ç‡æÌ ·UUUUÚÌè ãñ, àæðËÕè SÅæÚ çSÅ·UUUUÚ ·UUUU×æÌè ãñÐ ·UUUUÜ, àæðËÕè Ùð 4 SÅæÚ ·UUUU×æ°Ð ¥æÁ ©âÙð 3 ¥æñÚ ·UUUU×æ°Ð àæðËÕè Ùð âÖè ×ð¢ ç·UUUUÌÙð SÅæÚ ·UUUU×æ°?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
